cust_id,date_of_complaint,issue_type,feedback_text,priority_level,days_to_resolve,is_escalated,is_resolved
C00001,2022-02-26,Account Management,My service was cut off without warning. I demand an explanation.,5,11,0,1
C00001,2024-05-24,Service Quality,The technician never showed up. I took a day off work for nothing.,4,6,1,1
C00001,2023-04-03,Account Management,Account change was processed but took a few extra days.,3,21,0,0
C00001,2022-10-14,Account Management,This is the worst experience I have ever had. Planning to switch provider immediately.,5,16,0,0
C00002,2022-11-05,Account Management,Technician arrived on time but the fix took longer than expected.,2,7,0,1
C00003,2023-12-01,Meter Reading,No major problems but the website is a bit slow.,2,0,0,1
C00005,2022-05-10,Technical,Service is generally okay. Had a minor billing discrepancy last month.,4,23,0,0
C00005,2024-09-15,Meter Reading,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4,22,1,1
C00005,2022-07-26,Service Quality,I am done. Switching to a competitor as soon as possible. Nightmare.,4,6,1,0
C00005,2022-05-26,Outage,My service was cut off without warning. I demand an explanation.,5,11,0,1
C00005,2023-08-11,Outage,Billing errors again! Third month in a row. Completely incompetent.,4,8,1,1
C00005,2024-01-05,Meter Reading,This is the worst experience I have ever had. Planning to switch provider immediately.,3,7,0,0
C00008,2024-02-06,Service Quality,I am done. Switching to a competitor as soon as possible. Nightmare.,3,17,0,0
C00008,2024-04-10,Technical,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4,6,0,0
C00008,2023-06-04,Outage,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,21,1,0
C00009,2022-05-10,Billing,The support person was polite but couldn't fully resolve my issue.,1,3,0,1
C00011,2023-10-22,Meter Reading,No major problems but the website is a bit slow.,3,7,0,1
C00011,2024-10-23,Meter Reading,Very pleased with the resolution. Great team.,1,2,0,1
C00012,2023-12-13,Outage,Very pleased with the resolution. Great team.,1,7,0,1
C00013,2022-11-22,Service Quality,I have called 7 times and nobody fixes the problem. I want to cancel my account.,5,16,0,0
C00013,2022-02-14,Service Quality,The technician never showed up. I took a day off work for nothing.,3,24,0,0
C00013,2024-03-23,Technical,Technician arrived on time but the fix took longer than expected.,5,5,0,0
C00013,2024-08-02,Account Management,The outage was resolved. It would have been nice to get a notification.,3,22,1,1
C00015,2024-01-05,Outage,Nothing special to report. Service has been average.,3,4,1,1
C00016,2024-12-25,Service Quality,Unresponsive support and endless hold times. Absolutely awful.,2,1,0,1
C00017,2022-05-20,Meter Reading,I am done. Switching to a competitor as soon as possible. Nightmare.,1,2,1,1
C00018,2024-11-20,Billing,"Love the online portal, makes managing my account super easy.",2,0,0,1
C00019,2023-01-01,Service Quality,"Love the online portal, makes managing my account super easy.",2,3,0,1
C00020,2023-11-17,Billing,Technician arrived on time but the fix took longer than expected.,2,2,0,1
C00021,2024-06-05,Service Quality,Billing seems correct this month. Last month there was a small issue.,3,0,0,1
C00022,2024-02-20,Outage,My service was cut off without warning. I demand an explanation.,5,22,0,0
C00022,2023-08-08,Technical,My outage has been going on for 5 days and no one cares. Disgusting.,3,15,1,0
C00022,2024-08-27,Service Quality,I have called 7 times and nobody fixes the problem. I want to cancel my account.,5,18,1,1
C00022,2023-12-01,Billing,I am done. Switching to a competitor as soon as possible. Nightmare.,5,7,0,0
C00022,2022-06-04,Account Management,Nothing special to report. Service has been average.,5,18,0,1
C00023,2022-08-20,Technical,Billing seems correct this month. Last month there was a small issue.,1,0,0,1
C00023,2023-10-14,Technical,The support team was extremely helpful and resolved my issue quickly.,2,6,0,0
C00024,2023-06-03,Meter Reading,Had to follow up twice to get my meter reading corrected.,1,4,0,1
C00024,2022-09-07,Billing,Technician arrived on time but the fix took longer than expected.,1,1,0,1
C00026,2022-12-07,Billing,"Outstanding service quality, no issues whatsoever.",1,1,0,1
C00026,2024-03-14,Meter Reading,Very pleased with the resolution. Great team.,2,6,0,0
C00028,2023-09-21,Billing,Nothing special to report. Service has been average.,3,2,0,1
C00029,2024-08-21,Billing,My service was cut off without warning. I demand an explanation.,3,26,1,1
C00029,2022-02-18,Technical,The support person was polite but couldn't fully resolve my issue.,3,9,0,0
C00029,2023-05-19,Meter Reading,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4,23,0,0
C00030,2024-04-04,Account Management,Service interruption was brief. Would like better communication next time.,5,10,0,1
C00030,2023-01-13,Meter Reading,My service was cut off without warning. I demand an explanation.,3,18,0,0
C00030,2023-11-05,Outage,This is the worst experience I have ever had. Planning to switch provider immediately.,5,12,0,0
C00030,2023-04-12,Billing,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,28,0,1
C00031,2024-02-19,Outage,The support team was extremely helpful and resolved my issue quickly.,3,5,0,1
C00031,2023-09-05,Outage,"Quick and helpful customer service, thank you!",2,2,0,1
C00032,2024-07-06,Billing,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,9,1,0
C00032,2023-06-13,Service Quality,Technician arrived on time but the fix took longer than expected.,4,15,0,1
C00032,2023-09-22,Service Quality,Service is generally okay. Had a minor billing discrepancy last month.,3,9,0,1
C00032,2024-04-25,Account Management,Service is generally okay. Had a minor billing discrepancy last month.,5,10,1,0
C00032,2024-06-21,Account Management,Nothing special to report. Service has been average.,5,10,1,1
C00032,2024-07-07,Service Quality,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3,29,1,0
C00033,2023-09-11,Meter Reading,"Excellent response time, I am very satisfied.",2,2,0,1
C00034,2022-04-13,Service Quality,The support person was polite but couldn't fully resolve my issue.,1,1,1,1
C00034,2023-04-17,Account Management,Account change was processed but took a few extra days.,1,6,0,1
C00035,2022-06-13,Account Management,Very pleased with the resolution. Great team.,2,7,0,0
C00037,2023-09-09,Account Management,Service is generally okay. Had a minor billing discrepancy last month.,1,7,0,1
C00037,2023-01-28,Billing,"Love the online portal, makes managing my account super easy.",2,1,0,0
C00038,2022-02-12,Billing,"Quick and helpful customer service, thank you!",3,0,0,1
C00038,2024-07-01,Service Quality,Very pleased with the resolution. Great team.,3,1,0,1
C00039,2024-11-13,Meter Reading,Nothing special to report. Service has been average.,3,3,0,1
C00041,2022-10-28,Account Management,The outage was resolved. It would have been nice to get a notification.,5,15,0,0
C00041,2024-10-09,Technical,The outage was resolved. It would have been nice to get a notification.,5,19,1,0
