customer_id,complaint_date,complaint_category,severity,comment,resolution_time_days,escalated
CUST0000001,2024-02-08,High Bill,2,Need to schedule a routine maintenance appointment for my meter,0,0
CUST0000001,2024-09-02,Poor Customer Service,2,"Thank you for the clear explanation of my bill, now I understand it fully",3,0
CUST0000001,2024-11-19,Meter Malfunction,1,"Thank you for the clear explanation of my bill, now I understand it fully",1,0
CUST0000001,2023-03-22,Connection Issue,3,"My neighbor has the same plan but pays less, something doesn't add up",2,1
CUST0000002,2024-03-15,Environmental Concern,3,Waited on hold for 45 minutes which is unacceptable in this day and age,0,0
CUST0000004,2023-08-28,Billing Error,2,Need to schedule a routine maintenance appointment for my meter,0,1
CUST0000004,2023-06-09,Billing Error,4,"This is the third time I've called about the same problem and nothing has been fixed, horrible",2,0
CUST0000004,2024-12-05,Poor Customer Service,5,"Worst customer experience I have ever had in my entire life, absolutely disgusting",10,0
CUST0000004,2023-11-25,Poor Customer Service,4,"Nobody seems to care about resolving my issue, this is unacceptable and pathetic",0,0
CUST0000004,2023-11-10,Rate Increase,3,Calling to verify my autopay is set up correctly for next month,3,0
CUST0000004,2024-12-22,Delayed Response,4,Power flickering has been an ongoing issue that nobody seems to fix,1,0
CUST0000004,2024-07-29,Meter Malfunction,3,Looking for details on estimated vs actual meter readings,4,0
CUST0000004,2024-05-17,Poor Customer Service,3,Not satisfied with the response I got from the support agent,5,1
CUST0000004,2024-11-04,Billing Error,4,Power flickering has been an ongoing issue that nobody seems to fix,2,0
CUST0000005,2024-02-17,High Bill,5,I am extremely frustrated with the complete lack of communication from your team,1,0
CUST0000005,2023-03-17,Service Outage,2,Following up on my previous service request submitted last week,6,0
CUST0000005,2023-02-11,Service Outage,5,"I want to cancel my service immediately, this has been an absolute nightmare",8,0
CUST0000005,2024-09-30,Rate Increase,5,How dare you raise rates again after providing such terrible unreliable service,1,0
CUST0000005,2024-12-08,Environmental Concern,1,"Appreciate the prompt service restoration, great job by the crew",17,0
CUST0000005,2024-07-08,Billing Error,5,Completely fed up with the constant outages and zero accountability from management,13,0
CUST0000005,2023-01-29,Billing Error,3,Just wanted to confirm receipt of my recent payment submission,19,1
CUST0000006,2024-11-21,High Bill,3,Asking about the process for transferring service to a new address,0,0
CUST0000006,2023-05-27,Rate Increase,2,"Thank you for the clear explanation of my bill, now I understand it fully",1,1
CUST0000006,2024-01-23,Service Outage,1,"Appreciate the prompt service restoration, great job by the crew",12,0
CUST0000006,2024-04-27,Rate Increase,5,Completely fed up with the constant outages and zero accountability from management,4,0
CUST0000007,2024-03-30,High Bill,3,Not satisfied with the response I got from the support agent,8,0
CUST0000008,2024-09-26,High Bill,4,Service interruption was really inconvenient and disrupted my work,4,0
CUST0000008,2023-05-04,Billing Error,4,"Bill seems higher than expected this month, not very happy about it",18,1
CUST0000008,2024-03-27,Billing Error,3,I would like to update my contact information on file please,2,0
CUST0000009,2024-08-05,High Bill,2,General account inquiry about my current balance and due date,0,0
CUST0000009,2023-05-04,Connection Issue,2,Checking on the status of my refund that was processed recently,2,0
CUST0000010,2023-09-27,Poor Customer Service,4,I feel like I'm not getting value for what I'm paying every month,0,1
CUST0000010,2024-05-08,Rate Increase,2,Need information about available rate plans and any current promotions,17,1
CUST0000010,2024-03-22,Rate Increase,2,General account inquiry about my current balance and due date,3,1
CUST0000010,2023-01-24,Delayed Response,4,I feel like I'm not getting value for what I'm paying every month,11,0
CUST0000011,2024-12-23,High Bill,3,"Not happy with the rate increase, feels unfair to long-term customers",4,0
CUST0000011,2024-02-23,Service Outage,2,Called to inquire about my bill details and payment options,8,1
CUST0000011,2024-09-30,High Bill,3,Inquiring about payment plan options available for my account,15,1
CUST0000011,2024-02-01,Meter Malfunction,2,Called to inquire about my bill details and payment options,4,0
CUST0000011,2023-11-16,High Bill,4,"Worst customer experience I have ever had in my entire life, absolutely disgusting",13,1
CUST0000011,2024-11-18,Connection Issue,3,Inquiring about payment plan options available for my account,4,0
CUST0000013,2024-06-19,Rate Increase,3,The billing cycle change caused confusion on my payment schedule,6,1
CUST0000013,2023-03-05,Rate Increase,2,Looking for details on estimated vs actual meter readings,0,0
CUST0000013,2024-02-22,Environmental Concern,4,"Nobody seems to care about resolving my issue, this is unacceptable and pathetic",13,0
CUST0000015,2024-01-12,Meter Malfunction,3,Resolution took much longer than what was originally promised to me,3,0
CUST0000017,2023-01-06,Poor Customer Service,3,Waited on hold for 45 minutes which is unacceptable in this day and age,1,0
CUST0000017,2023-08-02,Poor Customer Service,3,"Bill seems higher than expected this month, not very happy about it",2,1
CUST0000017,2023-04-22,Poor Customer Service,5,Completely fed up with the constant outages and zero accountability from management,5,0
CUST0000018,2023-07-11,Meter Malfunction,3,"I was promised a callback but never received one, disappointed",1,0
CUST0000018,2023-06-02,Delayed Response,4,"I want to cancel my service immediately, this has been an absolute nightmare",0,0
CUST0000021,2024-02-10,Poor Customer Service,2,Question about the peak and off-peak pricing hours for my plan,3,0
CUST0000021,2024-03-11,Meter Malfunction,5,"Terrible service, been waiting for weeks with no resolution whatsoever",0,0
CUST0000021,2024-11-17,Rate Increase,2,Question about the peak and off-peak pricing hours for my plan,12,0
CUST0000021,2024-01-08,Delayed Response,3,"Had to call multiple times to get any kind of response, frustrating",2,0
CUST0000021,2024-09-14,Rate Increase,2,Very satisfied with how quickly the outage was resolved in our area,4,0
CUST0000022,2023-01-22,Connection Issue,3,"The meter reading seems inaccurate again, this keeps happening",12,0
CUST0000022,2024-05-26,Meter Malfunction,4,"My power has been out for 3 days and all I get is automated responses, shameful",6,0
CUST0000022,2023-06-30,Billing Error,3,"The online portal is confusing and hard to navigate, needs improvement",0,0
CUST0000023,2023-11-18,Connection Issue,5,"This is the third time I've called about the same problem and nothing has been fixed, horrible",7,0
CUST0000023,2023-01-28,Environmental Concern,4,"My power has been out for 3 days and all I get is automated responses, shameful",6,0
CUST0000024,2024-11-27,Delayed Response,3,Need information about available rate plans and any current promotions,7,1
CUST0000024,2023-07-16,Service Outage,3,"My neighbor has the same plan but pays less, something doesn't add up",2,0
CUST0000024,2024-08-26,Delayed Response,4,"Outrageous bills with no explanation, I am seriously considering switching providers immediately",5,0
CUST0000026,2023-06-28,Meter Malfunction,1,"Appreciate the prompt service restoration, great job by the crew",4,0
CUST0000026,2024-06-13,Billing Error,3,Need information about available rate plans and any current promotions,4,0
CUST0000027,2023-04-21,High Bill,5,Completely fed up with the constant outages and zero accountability from management,28,0
CUST0000027,2024-11-18,Environmental Concern,4,"This is the third time I've called about the same problem and nothing has been fixed, horrible",26,0
CUST0000028,2024-09-23,Delayed Response,3,The technician didn't show up during the scheduled time window again,1,0
