customer_id,comment,severity
C00001,The technician never showed up. I took a day off work for nothing.,5
C00001,The outage was resolved. It would have been nice to get a notification.,5
C00001,My outage has been going on for 5 days and no one cares. Disgusting.,5
C00001,Technician arrived on time but the fix took longer than expected.,4
C00003,Service is generally okay. Had a minor billing discrepancy last month.,1
C00003,My billing issue was resolved within hours. Highly recommend.,2
C00004,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3
C00004,Service interruption was brief. Would like better communication next time.,4
C00004,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4
C00005,No major problems but the website is a bit slow.,3
C00005,My service was cut off without warning. I demand an explanation.,5
C00005,Nothing special to report. Service has been average.,4
C00006,Very pleased with the resolution. Great team.,3
C00006,My billing issue was resolved within hours. Highly recommend.,3
C00007,Billing seems correct this month. Last month there was a small issue.,5
C00007,Billing errors again! Third month in a row. Completely incompetent.,3
C00007,I am absolutely furious — my bill doubled for no reason and no one can explain it.,3
C00007,Had to follow up twice to get my meter reading corrected.,4
C00007,I am absolutely furious — my bill doubled for no reason and no one can explain it.,5
C00008,The new meter reading service is fantastic.,3
C00008,I am absolutely furious — my bill doubled for no reason and no one can explain it.,2
C00009,This is the worst experience I have ever had. Planning to switch provider immediately.,2
C00009,"Quick and helpful customer service, thank you!",1
C00010,Service interruption was brief. Would like better communication next time.,3
C00010,Had to follow up twice to get my meter reading corrected.,2
C00011,My billing issue was resolved within hours. Highly recommend.,2
C00012,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4
C00012,I have called 7 times and nobody fixes the problem. I want to cancel my account.,4
C00012,Service is generally okay. Had a minor billing discrepancy last month.,4
C00012,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00012,I am done. Switching to a competitor as soon as possible. Nightmare.,5
C00015,"Great experience, the technician was professional and efficient.",2
C00016,"Outstanding service quality, no issues whatsoever.",1
C00017,"Outstanding service quality, no issues whatsoever.",3
C00018,"Quick and helpful customer service, thank you!",2
C00018,"Quick and helpful customer service, thank you!",1
C00019,I am done. Switching to a competitor as soon as possible. Nightmare.,2
C00020,"Very happy with the service, everything works great.",1
C00020,"Excellent response time, I am very satisfied.",1
C00021,Very pleased with the resolution. Great team.,3
C00021,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3
C00023,Unresponsive support and endless hold times. Absolutely awful.,5
C00023,I have called 7 times and nobody fixes the problem. I want to cancel my account.,5
C00023,Billing errors again! Third month in a row. Completely incompetent.,3
C00023,Nothing special to report. Service has been average.,4
C00024,Very pleased with the resolution. Great team.,3
C00025,Account change was processed but took a few extra days.,2
C00025,The new meter reading service is fantastic.,2
C00026,My service was cut off without warning. I demand an explanation.,4
C00026,Nothing special to report. Service has been average.,3
C00026,The technician never showed up. I took a day off work for nothing.,5
C00026,Had to follow up twice to get my meter reading corrected.,3
C00026,Service is generally okay. Had a minor billing discrepancy last month.,5
C00029,My billing issue was resolved within hours. Highly recommend.,2
C00031,I am absolutely furious — my bill doubled for no reason and no one can explain it.,2
C00031,I have called 7 times and nobody fixes the problem. I want to cancel my account.,1
C00032,I am done. Switching to a competitor as soon as possible. Nightmare.,3
C00033,Had to follow up twice to get my meter reading corrected.,3
C00033,Had to follow up twice to get my meter reading corrected.,3
