customer_id,complaint_date,complaint_category,comment,severity,resolution_time_days,escalated,resolved
C00437,2023-01-01,Other,I would like to update my contact details.,5,13,1,0
C00382,2023-01-01,Meter Reading,Happy with the service overall.,4,17,1,0
C00018,2023-01-01,Billing,The technician arrived on time and fixed the problem efficiently.,4,17,0,1
C00399,2023-01-01,Technical,Calling to inquire about my current bill and payment options.,1,4,0,0
C00410,2023-01-02,Outage,I need to schedule a meter reading appointment.,3,0,1,0
C00045,2023-01-02,Outage,The technician arrived on time and fixed the problem efficiently.,3,6,1,1
C00173,2023-01-02,Technical,Still waiting for the credit promised three weeks ago.,1,18,1,0
C00442,2023-01-02,Service Quality,I am not happy with the service. My issue has been going on for too long.,1,16,1,1
C00466,2023-01-03,Service Quality,The bill seems higher than expected. Quite frustrated.,2,19,0,0
C00342,2023-01-03,Other,Calling to inquire about my current bill and payment options.,5,17,1,1
C00273,2023-01-03,Meter Reading,The technician arrived on time and fixed the problem efficiently.,1,6,1,1
C00101,2023-01-03,Service Quality,My meter reading was wrong and my bill is inflated.,5,7,1,0
C00233,2023-01-04,Technical,"Everything is working great, thank you.",4,7,1,1
C00302,2023-01-04,Other,Can you explain the tariff plans available?,2,8,1,1
C00149,2023-01-04,Billing,Still waiting for the credit promised three weeks ago.,2,15,1,0
C00134,2023-01-04,Meter Reading,Worst customer experience. I will be switching providers.,4,19,0,1
C00445,2023-01-05,Other,I have been overcharged for the third time this year.,4,18,1,0
C00333,2023-01-05,Service Quality,"Everything is working great, thank you.",4,11,0,0
C00320,2023-01-05,Outage,I need to schedule a meter reading appointment.,4,7,1,1
C00390,2023-01-05,Technical,Can you explain the tariff plans available?,3,0,0,0
C00140,2023-01-06,Other,I need to schedule a meter reading appointment.,4,13,1,1
C00365,2023-01-06,Service Quality,Still waiting for the credit promised three weeks ago.,5,4,0,1
C00159,2023-01-06,Outage,"Everything is working great, thank you.",3,14,1,0
C00318,2023-01-06,Service Quality,I need to schedule a meter reading appointment.,2,6,1,0
C00364,2023-01-07,Technical,Still waiting for the credit promised three weeks ago.,4,8,0,1
C00168,2023-01-07,Service Quality,The bill seems higher than expected. Quite frustrated.,4,11,0,0
C00282,2023-01-07,Other,Happy with the service overall.,5,19,1,1
C00480,2023-01-07,Meter Reading,Worst customer experience. I will be switching providers.,5,0,1,1
C00431,2023-01-08,Outage,I would like to update my contact details.,1,6,0,0
C00434,2023-01-08,Meter Reading,I called last week and was promised a callback that never came.,4,5,1,1
C00442,2023-01-08,Technical,I have been overcharged for the third time this year.,3,3,1,0
C00222,2023-01-08,Meter Reading,Still waiting for the credit promised three weeks ago.,4,17,0,0
C00433,2023-01-09,Service Quality,My meter reading was wrong and my bill is inflated.,2,8,1,1
C00217,2023-01-09,Outage,Very satisfied with the quick response to my query.,1,16,1,0
C00227,2023-01-09,Technical,"Three technicians, three no-shows. I took time off work for nothing.",1,1,1,1
C00024,2023-01-09,Outage,The bill seems higher than expected. Quite frustrated.,1,14,0,0
C00194,2023-01-10,Outage,The representative was very helpful and resolved my issue quickly.,2,8,1,1
