customer_id,complaint_date,complaint_category,comment,severity,resolution_time_days,escalated,resolved
C00001,2024-05-02,Outage,Unresponsive support and endless hold times. Absolutely awful.,4,10,1,0
C00001,2024-07-06,Technical,Billing errors again! Third month in a row. Completely incompetent.,4,7,0,1
C00001,2024-01-15,Meter Reading,My service was cut off without warning. I demand an explanation.,5,5,1,0
C00001,2024-03-12,Meter Reading,Billing errors again! Third month in a row. Completely incompetent.,4,10,0,0
C00001,2024-08-17,Account Management,Billing errors again! Third month in a row. Completely incompetent.,3,29,0,1
C00002,2023-04-15,Meter Reading,Billing seems correct this month. Last month there was a small issue.,3,0,0,1
C00004,2024-01-12,Technical,Account change was processed but took a few extra days.,4,18,0,1
C00004,2022-11-27,Service Quality,My outage has been going on for 5 days and no one cares. Disgusting.,4,29,0,0
C00004,2023-02-28,Service Quality,Unresponsive support and endless hold times. Absolutely awful.,4,22,0,1
C00004,2024-08-09,Service Quality,My outage has been going on for 5 days and no one cares. Disgusting.,3,16,1,1
C00005,2022-10-01,Account Management,Billing seems correct this month. Last month there was a small issue.,2,0,0,1
C00005,2022-10-27,Account Management,My outage has been going on for 5 days and no one cares. Disgusting.,2,6,0,1
C00006,2022-10-05,Service Quality,Account change was processed but took a few extra days.,2,1,0,0
C00006,2024-04-06,Service Quality,The new meter reading service is fantastic.,3,6,0,0
C00007,2024-10-05,Account Management,Unresponsive support and endless hold times. Absolutely awful.,5,9,1,0
C00007,2024-07-28,Service Quality,Billing seems correct this month. Last month there was a small issue.,3,18,0,1
C00007,2024-04-27,Meter Reading,Service is generally okay. Had a minor billing discrepancy last month.,5,24,0,0
C00007,2024-02-21,Outage,Unresponsive support and endless hold times. Absolutely awful.,4,18,1,1
C00007,2024-03-03,Service Quality,The technician never showed up. I took a day off work for nothing.,4,23,0,1
C00007,2024-01-14,Service Quality,This is the worst experience I have ever had. Planning to switch provider immediately.,5,5,0,0
C00008,2022-08-04,Service Quality,The outage was resolved. It would have been nice to get a notification.,2,5,0,1
C00009,2022-05-03,Service Quality,The support team was extremely helpful and resolved my issue quickly.,1,5,0,1
C00009,2023-12-12,Account Management,Account change was processed but took a few extra days.,1,3,0,1
C00012,2022-06-07,Account Management,My billing issue was resolved within hours. Highly recommend.,2,4,0,1
C00012,2022-05-04,Technical,Account change was processed but took a few extra days.,1,4,0,1
C00014,2022-03-15,Meter Reading,"Great experience, the technician was professional and efficient.",1,1,1,1
C00015,2024-06-18,Meter Reading,Billing seems correct this month. Last month there was a small issue.,3,0,0,1
C00016,2022-07-07,Technical,My billing issue was resolved within hours. Highly recommend.,1,1,0,1
C00016,2022-05-22,Meter Reading,The support team was extremely helpful and resolved my issue quickly.,3,1,0,1
C00017,2022-06-11,Technical,No major problems but the website is a bit slow.,3,3,0,1
C00017,2024-08-14,Billing,Nothing special to report. Service has been average.,2,1,0,1
C00019,2022-04-12,Technical,Had to follow up twice to get my meter reading corrected.,2,7,0,1
C00019,2022-12-04,Billing,"Great experience, the technician was professional and efficient.",3,2,1,1
C00021,2022-07-03,Outage,Service is generally okay. Had a minor billing discrepancy last month.,1,2,0,1
C00021,2023-04-05,Account Management,"Love the online portal, makes managing my account super easy.",2,6,0,0
C00022,2024-03-18,Billing,The new meter reading service is fantastic.,3,5,0,1
C00022,2023-02-10,Billing,Technician arrived on time but the fix took longer than expected.,2,6,0,1
C00024,2024-10-04,Technical,Very pleased with the resolution. Great team.,2,4,0,0
C00024,2022-07-16,Account Management,"Quick and helpful customer service, thank you!",1,3,0,1
C00025,2024-04-17,Outage,Account change was processed but took a few extra days.,2,5,0,1
C00025,2024-01-08,Service Quality,"Great experience, the technician was professional and efficient.",2,4,0,1
C00026,2023-10-15,Service Quality,Billing errors again! Third month in a row. Completely incompetent.,5,13,1,1
C00026,2023-08-10,Billing,The outage was resolved. It would have been nice to get a notification.,3,29,0,0
C00026,2024-08-22,Technical,No major problems but the website is a bit slow.,5,24,0,1
C00026,2023-09-25,Account Management,Unresponsive support and endless hold times. Absolutely awful.,3,11,1,1
C00029,2024-07-18,Technical,I am absolutely furious — my bill doubled for no reason and no one can explain it.,2,4,0,1
C00030,2024-07-21,Technical,Service interruption was brief. Would like better communication next time.,3,25,0,0
C00030,2023-05-26,Outage,I am absolutely furious — my bill doubled for no reason and no one can explain it.,4,5,1,1
C00030,2024-09-08,Technical,Account change was processed but took a few extra days.,5,13,1,0
C00031,2024-05-21,Billing,Billing seems correct this month. Last month there was a small issue.,1,7,0,1
C00032,2024-11-08,Service Quality,"Very happy with the service, everything works great.",1,2,0,1
C00033,2024-07-01,Meter Reading,No major problems but the website is a bit slow.,1,7,0,0
C00034,2023-10-15,Service Quality,Service is generally okay. Had a minor billing discrepancy last month.,2,1,0,1
C00036,2024-12-08,Outage,I have called 7 times and nobody fixes the problem. I want to cancel my account.,2,7,0,1
C00036,2024-07-06,Meter Reading,Very pleased with the resolution. Great team.,2,1,1,1
C00037,2024-04-21,Technical,Account change was processed but took a few extra days.,1,1,0,1
C00038,2022-01-28,Outage,Very pleased with the resolution. Great team.,2,1,0,1
C00038,2024-07-19,Technical,My billing issue was resolved within hours. Highly recommend.,3,1,0,1
C00039,2022-08-26,Service Quality,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3,16,0,1
C00039,2023-06-22,Account Management,Technician arrived on time but the fix took longer than expected.,3,13,1,0
C00039,2023-11-17,Account Management,Account change was processed but took a few extra days.,5,9,1,1
C00039,2024-03-01,Account Management,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,19,0,1
C00039,2022-04-22,Billing,Technician arrived on time but the fix took longer than expected.,5,7,0,1
C00040,2024-12-09,Service Quality,"Love the online portal, makes managing my account super easy.",3,1,1,1
C00041,2023-11-08,Account Management,I am done. Switching to a competitor as soon as possible. Nightmare.,5,19,0,0
C00041,2024-03-21,Technical,My outage has been going on for 5 days and no one cares. Disgusting.,5,18,0,1
C00041,2024-08-17,Account Management,I am done. Switching to a competitor as soon as possible. Nightmare.,5,29,0,1
C00041,2024-12-03,Outage,The technician never showed up. I took a day off work for nothing.,4,19,0,0
C00041,2024-04-19,Service Quality,Unresponsive support and endless hold times. Absolutely awful.,3,25,1,0
C00041,2023-06-13,Outage,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",3,20,0,0
C00043,2024-07-07,Technical,The support team was extremely helpful and resolved my issue quickly.,2,3,0,1
C00043,2022-12-21,Outage,This is the worst experience I have ever had. Planning to switch provider immediately.,3,2,0,1
C00044,2022-06-19,Technical,"Love the online portal, makes managing my account super easy.",3,4,0,1
C00044,2024-04-12,Service Quality,The outage was resolved. It would have been nice to get a notification.,3,5,1,1
C00046,2024-02-04,Technical,Service interruption was brief. Would like better communication next time.,3,0,0,1
C00046,2023-12-12,Service Quality,The new meter reading service is fantastic.,3,7,1,1
C00048,2022-06-13,Service Quality,The support person was polite but couldn't fully resolve my issue.,1,5,0,1
C00048,2022-03-10,Account Management,"Outstanding service quality, no issues whatsoever.",2,6,0,1
C00049,2023-12-12,Billing,No major problems but the website is a bit slow.,3,2,0,1
C00050,2023-12-17,Account Management,Billing seems correct this month. Last month there was a small issue.,2,6,0,1
C00050,2023-06-18,Account Management,The support person was polite but couldn't fully resolve my issue.,3,1,0,1
C00051,2023-02-16,Billing,"Great experience, the technician was professional and efficient.",1,7,0,1
C00052,2022-05-12,Outage,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",4,14,0,1
C00052,2024-10-20,Technical,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,21,1,1
C00052,2023-12-15,Account Management,Service interruption was brief. Would like better communication next time.,5,20,1,0
C00053,2023-08-02,Account Management,Very pleased with the resolution. Great team.,3,5,0,1
C00054,2024-05-17,Account Management,Billing seems correct this month. Last month there was a small issue.,1,1,0,1
C00056,2024-07-08,Account Management,The support team was extremely helpful and resolved my issue quickly.,1,0,0,1
C00058,2023-09-24,Service Quality,I have called 7 times and nobody fixes the problem. I want to cancel my account.,3,0,0,1
C00058,2023-07-27,Technical,"Outstanding service quality, no issues whatsoever.",1,5,0,1
C00062,2022-12-13,Technical,"Great experience, the technician was professional and efficient.",3,7,0,1
C00062,2024-09-13,Technical,The new meter reading service is fantastic.,3,2,0,1
C00063,2023-09-26,Account Management,My service was cut off without warning. I demand an explanation.,5,26,0,1
C00063,2024-08-05,Service Quality,No major problems but the website is a bit slow.,4,8,1,0
C00063,2022-05-01,Account Management,Service interruption was brief. Would like better communication next time.,3,14,1,1
C00063,2023-05-23,Outage,Unresponsive support and endless hold times. Absolutely awful.,5,17,0,0
C00064,2024-07-03,Account Management,Very pleased with the resolution. Great team.,1,7,1,1
C00065,2024-06-16,Technical,My outage has been going on for 5 days and no one cares. Disgusting.,3,5,0,1
C00067,2024-07-22,Billing,I am done. Switching to a competitor as soon as possible. Nightmare.,3,1,0,1
C00069,2024-02-17,Outage,Had to follow up twice to get my meter reading corrected.,4,9,1,0
C00069,2024-10-09,Account Management,Unresponsive support and endless hold times. Absolutely awful.,5,21,1,1
C00069,2024-05-19,Billing,Billing errors again! Third month in a row. Completely incompetent.,5,26,1,0
C00069,2024-03-05,Billing,No major problems but the website is a bit slow.,3,16,1,0
C00069,2024-11-12,Meter Reading,The outage was resolved. It would have been nice to get a notification.,5,12,1,0
C00070,2024-01-20,Technical,Unresponsive support and endless hold times. Absolutely awful.,4,16,0,1
C00070,2023-09-06,Meter Reading,No major problems but the website is a bit slow.,3,7,1,1
C00070,2024-02-09,Technical,This is the worst experience I have ever had. Planning to switch provider immediately.,3,16,1,0
C00070,2023-12-10,Meter Reading,Billing errors again! Third month in a row. Completely incompetent.,5,6,1,1
C00070,2024-02-20,Billing,My service was cut off without warning. I demand an explanation.,5,28,0,0
C00070,2024-08-03,Account Management,My outage has been going on for 5 days and no one cares. Disgusting.,3,23,1,1
C00071,2023-08-11,Outage,"Outstanding service quality, no issues whatsoever.",3,0,0,1
C00071,2022-10-05,Meter Reading,"Terrible service, waited 3 weeks for someone to show up. Completely unacceptable.",2,6,1,1
C00073,2023-07-25,Billing,The new meter reading service is fantastic.,2,7,0,1
C00075,2024-10-07,Technical,My service was cut off without warning. I demand an explanation.,3,2,0,1
C00077,2022-05-19,Outage,Had to follow up twice to get my meter reading corrected.,3,7,0,1
