cust_id,date_of_complaint,issue_type,feedback_text,priority_level,days_to_resolve,is_escalated,is_resolved
C00002,2024-11-26,Meter Reading,The technician arrived a bit late but did a good job.,2,7,0,1
C00003,2023-12-01,Meter Reading,I want to cancel my account. I have had enough of this terrible service.,5,20,0,1
C00003,2022-02-19,Meter Reading,I want a full refund and I am cancelling everything today.,5,23,1,0
C00003,2022-06-16,Service Quality,I feel like loyal customers are not being valued the way they should be.,3,17,1,0
C00004,2024-12-06,Technical,Just checking when my next meter read is scheduled.,1,9,1,1
C00005,2023-02-04,Account Management,I had trouble navigating the new online portal at first.,2,4,1,0
C00005,2024-02-22,Meter Reading,Just checking when my next meter read is scheduled.,1,1,0,1
C00005,2023-04-26,Technical,The website was slow when I tried to log in yesterday.,2,8,0,1
C00005,2023-03-25,Billing,I want to switch to paperless billing.,1,5,0,1
C00006,2022-10-02,Technical,I was on hold for about 20 minutes which felt long.,2,2,0,1
C00007,2024-10-24,Billing,Just checking when my next meter read is scheduled.,1,9,0,1
C00007,2024-12-03,Service Quality,I waited longer than usual for a callback but it came eventually.,2,1,0,1
C00007,2024-12-05,Service Quality,I have been without power for five days and your team does not care at all.,5,28,1,0
C00007,2024-02-13,Account Management,Calling to update my billing address.,1,2,1,1
C00007,2024-03-05,Technical,I am not satisfied with how my previous complaint was handled.,3,7,0,1
C00008,2023-08-01,Billing,I was on hold for about 20 minutes which felt long.,2,6,1,1
C00009,2023-07-26,Account Management,I want to cancel my account. I have had enough of this terrible service.,5,23,0,0
C00009,2023-08-02,Account Management,Can you confirm my direct debit amount?,1,7,0,1
C00009,2022-11-08,Service Quality,I was treated rudely on my last call and I want this addressed.,4,12,1,0
C00009,2024-06-21,Billing,"There was a small discrepancy on my statement, now resolved.",2,7,0,1
C00010,2022-07-12,Service Quality,I feel like loyal customers are not being valued the way they should be.,3,13,0,1
C00012,2024-02-28,Outage,Could you send me a copy of last month's bill?,1,1,0,1
C00012,2023-01-19,Service Quality,The online chat bot could not help me and I had to call anyway.,3,17,1,1
C00012,2024-12-17,Billing,Can you confirm my direct debit amount?,1,7,0,1
C00013,2023-11-23,Service Quality,Calling to update my billing address.,1,8,1,1
C00013,2024-03-23,Account Management,I am switching providers immediately. I cannot tolerate this incompetence.,5,3,0,0
C00013,2023-01-19,Technical,I had trouble navigating the new online portal at first.,2,7,0,1
C00014,2024-04-13,Billing,The rate increase was not communicated clearly and came as a surprise.,3,11,1,1
C00014,2022-01-25,Account Management,I was on hold for about 20 minutes which felt long.,2,6,0,1
C00014,2023-08-07,Billing,I was treated rudely on my last call and I want this addressed.,4,1,1,0
C00014,2022-02-12,Account Management,Response time was a bit slower than last time I called.,2,7,0,1
C00016,2024-11-26,Account Management,The rate increase was not communicated clearly and came as a surprise.,3,14,0,0
C00016,2024-10-04,Meter Reading,My meter reading submission didn't go through on the first try.,2,10,0,1
C00016,2022-09-18,Outage,I am not satisfied with how my previous complaint was handled.,3,10,1,1
C00016,2023-01-04,Service Quality,My power has been out for two days and nobody has given me an update.,4,16,0,0
