customer_id,comment,severity
C00002,This is the third billing error in a row. I am losing patience.,4
C00002,I have been trying to get this resolved for two weeks now.,3
C00002,I was on hold for about 20 minutes which felt long.,2
C00005,My bill has errors and I have had to call twice about the same issue.,3
C00005,My bill was slightly higher than I expected this month.,2
C00006,The technician did not show up at the agreed time without any notice.,3
C00007,I have been trying to get this resolved for two weeks now.,3
C00007,I have been trying to get this resolved for two weeks now.,3
C00007,My bill has errors and I have had to call twice about the same issue.,3
C00007,I am switching providers immediately. I cannot tolerate this incompetence.,5
C00007,I want a formal complaint registered. This has gone on too long.,4
C00008,The technician arrived a bit late but did a good job.,2
C00008,My meter reading submission didn't go through on the first try.,2
C00008,I am very unhappy with the service. My complaint from last month is still open.,4
C00009,Could you send me a copy of last month's bill?,1
C00010,I waited longer than usual for a callback but it came eventually.,2
C00010,The online chat bot could not help me and I had to call anyway.,3
C00010,My power has been out for two days and nobody has given me an update.,4
C00011,The level of service I am receiving is completely unacceptable.,4
C00012,My bill has errors and I have had to call twice about the same issue.,3
C00012,Response time was a bit slower than last time I called.,2
C00013,My meter reading submission didn't go through on the first try.,2
C00014,The rate increase was not communicated clearly and came as a surprise.,3
C00014,"Everything is fine, just updating my details.",1
C00014,I took a day off work for the technician and nobody came.,4
C00014,I have been without power for five days and your team does not care at all.,5
C00015,I am considering switching providers if this is not fixed immediately.,4
C00016,I am not satisfied with how my previous complaint was handled.,3
C00016,I feel like loyal customers are not being valued the way they should be.,3
C00016,"There was a small discrepancy on my statement, now resolved.",2
C00016,I had trouble navigating the new online portal at first.,2
C00016,The customer service agent I spoke to was not very helpful.,3
C00017,I have been trying to get this resolved for two weeks now.,3
C00017,I want a full refund and I am cancelling everything today.,5
C00017,The email confirmation for my account change took two days to arrive.,2
C00017,Could you send me a copy of last month's bill?,1
C00018,Your company has overcharged me for months and nobody will fix it.,5
C00018,My bill was slightly higher than I expected this month.,2
C00019,Can you confirm my direct debit amount?,1
C00020,The rate increase was not communicated clearly and came as a surprise.,3
C00021,I want a formal complaint registered. This has gone on too long.,4
C00022,I would like to check my current balance please.,1
C00022,I have been trying to get this resolved for two weeks now.,3
C00023,I would like to know my current contract end date.,1
C00023,I have been waiting over a week for someone to call me back.,3
C00023,My meter reading submission didn't go through on the first try.,2
C00023,The email confirmation for my account change took two days to arrive.,2
C00023,The technician did not show up at the agreed time without any notice.,3
C00023,My account was charged incorrectly and I am still waiting for a credit.,3
C00024,The online chat bot could not help me and I had to call anyway.,3
C00024,I feel like loyal customers are not being valued the way they should be.,3
C00024,My bill has errors and I have had to call twice about the same issue.,3
C00025,Quick question about the new tariff letter I received.,1
C00025,I am contacting my lawyer. This is negligent and completely unacceptable.,5
C00026,The online chat bot could not help me and I had to call anyway.,3
C00026,"Everything is fine, just updating my details.",1
C00026,Could you send me a copy of last month's bill?,1
C00027,Calling to update my billing address.,1
C00027,This is the third billing error in a row. I am losing patience.,4
C00027,"There was a small discrepancy on my statement, now resolved.",2
C00027,I want to cancel my account. I have had enough of this terrible service.,5
C00028,The technician arrived a bit late but did a good job.,2
C00029,My bill was slightly higher than I expected this month.,2
C00029,Your company has overcharged me for months and nobody will fix it.,5
C00029,The email confirmation for my account change took two days to arrive.,2
C00030,I want a formal complaint registered. This has gone on too long.,4
C00030,I feel like loyal customers are not being valued the way they should be.,3
C00031,The online chat bot could not help me and I had to call anyway.,3
C00031,My account was charged incorrectly and I am still waiting for a credit.,3
C00031,I am not satisfied with how my previous complaint was handled.,3
C00033,I am contacting my lawyer. This is negligent and completely unacceptable.,5
C00033,"Everything is fine, just updating my details.",1
C00033,I waited longer than usual for a callback but it came eventually.,2
C00034,I was on hold for about 20 minutes which felt long.,2
C00034,My bill was slightly higher than I expected this month.,2
C00035,I am not satisfied with how my previous complaint was handled.,3
C00036,The rate increase was not communicated clearly and came as a surprise.,3
C00036,I am switching providers immediately. I cannot tolerate this incompetence.,5
C00036,This is the third billing error in a row. I am losing patience.,4
C00036,My meter reading submission didn't go through on the first try.,2
C00037,My bill has errors and I have had to call twice about the same issue.,3
C00038,My bill has errors and I have had to call twice about the same issue.,3
C00038,Could you send me a copy of last month's bill?,1
C00039,I am going to leave a public review warning everyone about this company.,5
C00039,My bill was slightly higher than I expected this month.,2
C00039,I would like to know my current contract end date.,1
C00039,I was treated rudely on my last call and I want this addressed.,4
C00039,I am considering switching providers if this is not fixed immediately.,4
C00039,I am very unhappy with the service. My complaint from last month is still open.,4
C00039,Just checking when my next meter read is scheduled.,1
C00039,The email confirmation for my account change took two days to arrive.,2
C00040,Nobody in your company seems to take responsibility for anything.,4
C00040,I am very unhappy with the service. My complaint from last month is still open.,4
C00040,The technician arrived a bit late but did a good job.,2
C00040,My meter reading submission didn't go through on the first try.,2
C00040,I have been trying to get this resolved for two weeks now.,3
C00040,I want to switch to paperless billing.,1
C00041,My meter reading submission didn't go through on the first try.,2
C00042,The website was slow when I tried to log in yesterday.,2
C00042,My bill has errors and I have had to call twice about the same issue.,3
C00042,Response time was a bit slower than last time I called.,2
C00042,I waited longer than usual for a callback but it came eventually.,2
